"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005"
"CHRM3",1.91425720054636,2.33315778387787,2.42998813820768,2.40058028080516,1.89933033479045,1.87626468002647,2.12352185352011,2.58715853394581,1.90902382163648,2.52494452428654,2.68345549850025,2.64236424901258,2.50973536034321,2.64979523870159,2.9074244863337,2.68524856522723,2.86612560581036,2.85814515453368
"MGST2",2.12223636596037,2.06305867569901,2.25322537325841,2.12220322823285,1.9474050829772,1.9039845836505,1.86014878101642,2.12119614108703,2.35089464068732,2.69904117997559,2.82119997805645,2.31311783232242,2.48925647469556,2.40855535680766,2.5696233005406,2.50492364426265,2.43629831842067,2.65062970217898
"VWDE",1.87771048852716,2.1536568443186,2.1460487587444,2.02280029036858,1.84375918407007,2.91722932467745,1.88198718317987,1.85504167075205,1.85079782324099,2.76320588546332,2.69951498724831,2.37118747765593,2.43299093248997,2.83247992676952,2.91199255130243,2.68856845738201,2.46401629336135,2.69319342631882
"PCBP1-AS1",2.49735663020707,2.33182844501972,2.07259770821189,2.31433312373325,2.40328108561522,1.8101185380766,1.69661172419542,2.41671383831264,2.95084798151236,2.93681166435662,2.84144705303502,2.71620844533082,2.84958680183266,3.0647949217458,2.79594207999765,2.74071605025393,2.74336911857813,2.81118143489742
"ARNTL2-AS1",1.69386292919534,1.78577860298072,1.74267801821394,1.86565914565762,1.75108532295017,1.62081722319389,1.63770993085258,1.73522710948967,1.95704054718985,2.37541288458584,2.44368620967022,1.61851588956703,2.07855757704036,2.06804269751764,2.43059465640079,2.14621759038404,2.26136051001077,2.64196814059003
"DENND1B",2.69442046243527,2.70858499854498,2.7837621339075,2.9315537192299,2.83008998898297,2.2080780168489,2.64420977984892,2.07783841509109,2.5200679118026,3.02971613373518,2.93100239068922,2.73058474664342,3.05507258946697,3.06636633354629,3.18294776538355,3.00290788505654,2.9285092319918,2.8349012976665
"P4HB",2.17639777806558,2.17716516269827,2.15872447319992,2.03237348323904,2.00909129158084,2.09003296071589,2.11035622699415,2.3160640452008,2.16944306081009,2.44705412398751,2.4863951687908,2.91677451587956,2.71589183342878,2.59220011002283,2.82607393418051,2.51664984363142,2.6766395448912,2.74295238611036
"ZC3H11A",2.41861608060328,2.14321217241782,2.34946294496895,2.54315385239673,2.25522213770036,3.12682554058922,2.20870390537643,2.25084973002366,1.96545849888212,2.59829325935827,2.81215542902067,2.51211940741983,3.03014641419399,3.06754407132428,2.89361771797182,2.88793871908493,3.11905117002599,2.65630415095502
"ITPRIPL2",2.47722683593174,2.2761077257616,2.42056917409521,2.4478444376326,2.44888853228821,2.22118169841362,2.53000205272004,1.83828621952041,2.27573834427776,2.46045897624012,2.76903306801068,2.57591276384361,2.83005225338939,2.77275980223556,2.65948186617194,2.67794408568677,2.94533764075016,2.5837282281824
"ZNF519",2.16221003631431,2.08785893395697,2.43656963891914,2.06278659410458,2.11424873910084,2.13939581944352,2.83502059157548,1.95103604869073,1.92437965391444,2.57123726098004,2.72597995020521,2.72627102879328,2.67398215971922,2.54444853942324,2.52798787204806,2.80337233207149,2.68522164867237,2.72106067985926
"TRIM24",1.89858450724419,1.96147997765289,2.51905798970683,2.24160500205485,2.46995316159102,2.04464206672552,1.91634134960539,2.02146657963711,2.43067065394196,2.70173290290562,2.74353844908333,2.54813498358579,2.77092416564666,2.7795707121473,2.70925931081206,2.72788670054851,2.80482634234284,2.66758357570585
"HECTD1",2.60436529028885,2.22701646632839,2.32205591200577,2.51824883758092,2.21832364779525,2.20331769505261,2.16568848473942,2.14132814923484,2.1647827389674,2.51842384826601,2.56483200342557,2.56125378601935,2.8127813970376,2.75457349480616,2.81668755569447,2.73379771137501,2.83114233322545,2.65325473338986
"KLF3-AS1",2.38690418072985,2.56248789049371,2.4443530000317,2.39367044826267,2.60754502998029,2.28052106486326,2.20913078974782,2.21188035361924,2.15000003631821,2.60531985344499,2.64823740095661,2.41144278781161,2.81794000173444,2.82208543019518,2.61879330515078,2.72755935452664,2.78140629870694,2.67266022754799
"GJA1",3.20235393125872,3.30700454371899,2.34339474559384,2.02380570733972,2.11464221027668,3.26971602010377,3.32891686696743,3.05792537350209,2.99728572262208,1.92458260400513,2.05909322883177,2.20896885067859,1.88304831638391,2.19980235818811,2.28598450622804,1.94186352709105,1.99801709629027,1.81436297371998
"IL13RA1",2.17021671694479,2.27152936233772,2.13149597938303,1.79094965354294,1.99633197763113,1.86345126042387,1.97288120284356,2.63618493029558,2.0692505234598,1.83947148713871,2.01693056065755,2.45833527855997,1.78115530850394,1.63785272287659,1.66753066838731,1.80368912089461,1.98726665014106,1.71973762688309
"FARP1",2.78517952530901,2.76432619536476,2.41486102884917,2.51995623620498,2.24500697436048,2.44373500319237,2.2899294616006,2.18225878833032,2.31742882251089,2.49320154611538,2.24397397647808,2.3583636265203,2.27375487688227,1.97638600008229,2.2481792797246,1.97966028330542,2.18695085415901,2.15512261212063
