"","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013"
"MRPL50",2.32764281812352,2.13404741156156,2.04703367130784,2.05440084223672,1.93937967961242,2.10708020272612,2.4895190446614,2.54112921020672,2.52489589481511,2.97095136417786,2.45793096020638,2.65817994309367,2.44624722956215
"C8orf44",2.53789836904432,2.80995561062224,2.8178980596272,2.81873789706227,2.8833029191859,2.83615015958481,2.44706629407909,2.46422781188638,2.38660735487236,2.48602078609464,2.50776902024389,2.44396568934819,2.4476246850246
"NAMPT",3.17045421314786,3.50857037958209,3.27943207044688,3.30578028859131,3.21868803269202,3.26089537801902,2.9661188587807,2.88784106941438,3.00431872918742,2.88101653339798,3.1693566279503,2.92876597939979,2.94337395478429
"DARS-AS1",2.35574222300312,2.25707641325776,2.34475522440437,2.28793144943074,2.2810352739914,2.3081496924359,1.87378800510157,1.88348787891071,2.03050700200305,2.01183015359071,2.10985496968695,1.95148932416091,1.99000690707867
"ITGA4",2.62628189189143,3.43985075959128,3.48636581904927,3.33650148972689,3.4328728429767,3.33953478411178,2.5007554068627,2.31614748047911,2.1275200385771,2.48644588579643,2.81928988623723,2.31026071202636,2.51373580606775
"TMCO5B",2.04133796704378,1.89770898330296,2.01787274866204,1.96451766580703,1.96702211673719,1.97860348123316,2.26410430839932,2.17780906787614,2.2891049674523,2.81956723218123,2.50815682216464,2.41777097922005,2.58092813921688
"KCNQ1OT1",2.19039709637495,2.68298941664786,2.62601362493748,2.65957731105279,2.77755879671276,2.72103135993354,1.79895132151216,1.95330584625729,2.16654449636175,1.94603161046759,1.95857285212337,2.06723772133305,1.98086836305433
"SRD5A3",2.03511852608063,2.4294022554473,2.26897447965495,2.39289191320555,2.47945201963051,2.43020604302263,1.78981979512124,1.70638997823718,1.90744140759312,1.91382500061353,1.65555012830202,1.96632857429384,1.81903988175062
"GJC1",2.24948144593581,1.90145043209683,1.92290988437701,2.02496711530154,1.92967436568863,2.08990961278321,2.61454095058152,2.13216552547809,2.20072467687076,2.58222262728093,2.45073459753565,2.28283119229314,2.41548529641768
"KIAA1841",2.50709132142377,2.82254763292844,2.72083595147857,2.99444468019157,2.99081711727619,2.82378298204669,2.28392710464083,2.0115106668329,2.04291814334714,2.09758787512126,2.47567688918087,2.52264888029723,2.52354840720518
"SPIRE2",2.49844389487087,2.46283838649776,2.5158269790511,2.50042399703482,2.45085413667457,2.54387345882113,2.88436718854668,2.92600682184073,2.54971672590221,2.80539461708291,2.90266134573042,3.07479980243394,2.88526607494345
"COG2",2.03905133814901,2.40609688322818,2.51664984363142,2.38203553770502,2.54164022111124,2.5003125752473,1.82904134311296,2.10621329086832,2.04673271145506,1.80446912087844,1.78333427678019,1.81298116495362,1.69479819637255
