"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013"
"TRHDE-AS1",1.85993934271939,1.95368988209088,2.01820543205002,1.88809287906261,2.02657558331508,2.0686426099143,1.74566717184685,1.78764935398524,2.08293314327318,2.09901471850459,1.9987547776184,2.158424284309,2.04773799313633,2.67111353397925,2.56168832293111,2.92953026667004,2.01416780185976,2.84189202793116,2.44894296308131,2.73988611332542,2.69214126438086
"VWDE",1.87771048852716,2.1536568443186,2.1460487587444,2.02280029036858,1.84375918407007,2.91722932467745,1.88198718317987,1.85504167075205,1.85079782324099,2.76320588546332,2.69951498724831,2.37118747765593,2.43299093248997,2.80647894028041,2.73050475465673,2.47009950017174,2.43539443711243,2.52535680625976,2.22621903695295,2.86306563339575,2.96485659900914
"PCDH9",1.75459636899102,1.85000886406131,2.09456545324075,1.97630314026322,2.08133758204164,1.6820509561837,1.60245212915159,1.92425041987814,1.9698574092243,1.87362778143388,2.0655833402761,1.70453957525615,1.806661437393,1.86852083795012,2.7423503463938,2.84956398414021,2.29595042941945,2.39622827855307,1.99582638352678,2.24944989216712,2.16028257740144
"TRIM24",1.89858450724419,1.96147997765289,2.51905798970683,2.24160500205485,2.46995316159102,2.04464206672552,1.91634134960539,2.02146657963711,2.43067065394196,2.70173290290562,2.74353844908333,2.54813498358579,2.77092416564666,2.69392625049239,2.56590493421472,2.563812687155,2.44704010179818,2.60487952849714,2.73716820645658,2.62421508884011,2.75977369492049
"CCN1",2.64482950740455,2.64704597978251,2.2376334652469,2.56306243578142,2.12636136484385,2.68682253439412,2.78826996246251,2.48635655058579,2.19135229497672,2.39557916997921,2.18346301191616,2.44606906446602,2.31458516560059,1.9578436690251,2.12379198815081,2.38706305126358,2.00011793549904,1.99815144521019,2.0138134663983,2.29688493973793,2.24053079368277
"EMP1",3.18190511489807,3.26242834663528,3.32947984773452,3.09045527973646,3.29411533116255,3.26713124741668,3.04802461439974,3.27919149562364,3.15932256439889,3.26750538579665,3.27312002671559,3.37569576042073,3.00717881341729,2.9478714667691,2.94593800208319,3.23743752286972,2.76866941229283,2.91783767705555,3.05203969402438,2.69059432045875,2.90677767625768
"GJA1",3.20235393125872,3.30700454371899,2.34339474559384,2.02380570733972,2.11464221027668,3.26971602010377,3.32891686696743,3.05792537350209,2.99728572262208,1.92458260400513,2.05909322883177,2.20896885067859,1.88304831638391,1.97753418181949,1.84030007169641,2.03302930132316,1.81523643767588,2.0359335281231,2.04106771708669,2.06175477297431,2.06178967419598
"FAH",3.16200970181402,3.25995788685743,3.22005655993776,3.271557897158,3.31035655444392,3.35579253321146,3.33912526737082,3.45563772391301,3.42622690862416,2.89466005235952,3.02989543285562,2.95064794665672,3.04388760077418,2.96264970268158,2.61730059891742,2.94210345463856,2.9360125806757,2.98587107516514,2.93819807938226,3.10772150949099,2.95821591775003
"IFIT1",2.26552031069694,2.29765922593946,2.54075091582168,2.36964850161493,2.50373009567001,2.50509036749822,3.0252710547545,2.651451283894,3.00199044712625,2.70178013578146,2.78529609606365,2.70763389445165,2.68860202503636,2.79125042459616,3.07435591855305,2.93041621940377,3.12003237523167,3.09200475633487,2.66892763352953,2.68477094608611,2.86592574105499
"PDE4B",3.26378636490312,3.31121565222275,3.40570923702091,3.16344527428872,3.52443408381629,3.44935337383576,3.32194165615701,3.56344407790741,3.56182185930565,3.25589572069909,3.3337440108209,3.43415140902267,3.28286884289552,3.00102431043759,3.11956484637464,2.85875049255411,3.069035823076,2.92981693570335,3.11677627865935,3.18957267791244,3.00385459629581
