"","GSM812988","GSM812989","GSM812990","GSM812991","GSM812992","GSM812993","GSM812994","GSM812995","GSM812996","GSM812997","GSM812998","GSM812999","GSM813000","GSM813001","GSM813002","GSM813003","GSM813004","GSM813005","GSM813006","GSM813007","GSM813008","GSM813009","GSM813010","GSM813011","GSM813012","GSM813013","GSM813014"
"208094_s_at",2.99288714011252,2.96590301934863,2.9795049950968,3.02921079662081,2.92729327733671,3.02150495658589,2.90187670314341,3.03448461060552,3.02918888289569,3.04769664379901,3.04033961302399,2.98137922555026,3.02158490528384,3.05593035294015,3.04969122722817,3.01263142132799,3.0359270197838,3.00727086410211,2.99816209868861,2.93355488771546,2.90033067774942,2.87839635773477,2.87541875441159,2.94651565611406,2.96364538760493,2.98462544007127,3.09187870031035
"211881_x_at",2.50357084730529,2.56248789049371,2.60197290752153,2.56240729423335,2.59873678961038,2.6900985723118,2.5009322975605,2.56797833722568,2.57220889522393,2.42426453153531,2.46083533356701,2.50430410881475,2.58202073371493,2.41357296171907,2.37420764304519,2.41040352234949,2.40253091431484,2.44593509523635,2.50186354717716,2.52734438149364,2.57457772477371,2.52222452255246,2.49437567010615,2.50363368382355,2.53150922305109,2.48236945597767,2.4915350271633
"213665_at",2.6876163773319,2.75267067520895,2.58022678451198,2.6885874791487,2.93230367948976,2.68973727068751,2.49900163959874,2.68430371793596,2.62588812056844,2.72854095218143,2.8538523682722,2.75256192798537,2.96258048610235,3.02752423438287,2.69148771207096,2.78893789922307,2.84521443223002,2.81787575820534,2.62158328492442,2.27443253780553,2.18904141750183,2.14273331145759,2.39991699993229,2.80352815209674,2.43173312980821,2.38519880672751,2.85978651703366
"214504_at",2.69274654649908,2.55739146356038,2.50209556535968,2.66713050815528,2.50057721980979,2.62818333405618,2.64801093400706,2.42441853469789,2.54560147277519,2.37085114122343,2.47808987417615,2.54336249602003,2.43669462107796,2.40572203318586,2.39135365544817,2.46623242925875,2.42139755683452,2.41223170635918,2.53904835538848,2.55724048112205,2.5601201480891,2.65197977044789,2.57771933188533,2.54046130236645,2.43112093751368,2.5188090487906,2.52235987860919
"219420_s_at",2.75710861055239,2.76645904800268,2.9027722728038,2.9113920837235,3.07229414480338,2.73335282198667,2.71685199403634,2.7823404127525,2.77596940046258,2.87822585304237,2.81629946366542,2.80223582494037,2.71479215429347,2.76540192744113,2.78631406785314,2.8040421974926,2.78287757426574,2.76921676608431,2.86664532243063,2.90062340056953,2.8458003350059,2.97304124787237,2.83706706831064,2.84917262455861,2.841772495919,2.88907961938143,2.78971464701366
"221810_at",2.70095433554669,2.81067527371613,2.78083395212341,2.75842982851224,2.52804590218711,2.63183766967688,2.72572087357395,2.63724459968761,2.6688334858691,2.9173087725698,2.90895755419858,3.03700032294395,2.92932441301465,2.90911447824415,2.92161018260284,2.89526577784434,2.92337417390055,2.92572717909695,2.79044906318403,2.74978138177386,2.79276291699178,2.71061007608435,2.70606457133294,2.86794804435902,2.87530943973134,2.81820922056885,3.02989366647051
"222689_at",2.9093547291136,2.50570524699345,2.577832665694,2.52888982677371,2.94695838009378,2.32803448886818,2.22665556623323,2.66818494784842,2.19332073216208,2.84020156115475,2.53406907492442,2.6171950264232,2.44810275619843,2.76546833843052,2.63170196293084,2.68958744706507,2.60038323280815,2.70719941897054,2.54481622350778,2.62818100052895,2.42283471587719,2.38905544544162,2.39277434124454,2.44748636387213,2.5253257325752,2.52106003647317,2.38948861777508
"226143_at",3.2295297831123,3.34345444262567,3.20906199126582,3.14156390933876,3.17306905273293,3.3038244301302,3.28925505810517,3.26188851112708,3.29034787293867,3.3180898973188,3.2932290625515,3.31624467069991,3.33730319842558,3.30809652776647,3.32641726236487,3.29088792641131,3.31968888230187,3.30772665136205,3.29954184229508,3.22329032257421,3.24404280511072,3.23604343787924,3.25028644040813,3.26720782107715,3.26535122598593,3.23313876217326,3.39580233399443
"242075_at",2.1542546088873,2.10075231411966,2.26783179733805,2.1523645154123,2.24315143344948,2.77349783426578,2.35833183439398,2.08534476871227,2.18282861622382,2.81552378601352,2.65563369910616,2.25680476293067,2.52898731513692,2.820682005024,2.67580983526485,2.6562256539211,2.69020631926492,2.55045572403944,2.34642934079389,2.66686291572727,2.19181371085049,2.12519613800256,2.33663901835058,2.4640199540198,2.36178070928493,2.27437080986915,2.57959073632592
"242160_at",2.56818366493996,2.58378020872026,2.55470917356557,2.57252373515587,2.55980992970801,2.43779394419727,2.45362925042013,2.71243796672902,2.32548543103317,2.46027102290814,2.45672993928286,2.38349224391473,2.3989607595332,2.50042272223466,2.51340862838453,2.50703142707224,2.50256356313243,2.55855687888594,2.43328664820159,2.47833895066595,2.33170894216661,2.40837791047843,2.42759785983113,2.40346870384878,2.45481864438086,2.4106466543879,2.50325051660627
"243020_at",2.36497913092693,2.13662714827143,2.11861355415474,2.12528476136216,2.33332554697157,2.40476827180124,2.08768856293309,2.13279429980895,2.0539127655685,2.1021350385975,2.35080414073815,2.04161622603042,2.14989178814805,2.75380261515002,3.0276806311086,3.08969627051773,2.94844703903326,2.9590265491568,2.92114665822703,1.93839683654372,1.98404826105,2.0130494917181,2.04591889773724,2.03610590047724,2.10658316551359,2.09009734143696,2.01920551349519
"243109_at",2.26261506164863,2.10552488397281,2.22162748716234,2.39809338792938,2.34975817164065,2.73780658447764,2.68819826624976,2.05832134497777,2.16663254384952,2.55890433684921,2.63112174830181,2.37072032254335,2.5993075567169,2.76072979268234,3.29088571530231,3.25585796365771,3.09866041355918,3.00165616461728,3.03341013836707,2.25714039455876,2.59279642685988,2.02298524314757,2.0598069144568,2.56717815615422,2.32117394538256,2.43749648775277,2.71423276693361
"243355_at",2.01272741485577,1.98008234864853,1.86602844729361,1.96703171104801,2.00131441757492,1.89868936417973,2.13629738569104,1.857498556848,1.60310382416705,1.88313631782517,2.07612362145214,1.85135887392994,1.91777200415425,2.35574222300312,2.25707641325776,2.34475522440437,2.28793144943074,2.2810352739914,2.3081496924359,1.87378800510157,1.88348787891071,2.03050700200305,2.01183015359071,2.10985496968695,1.95148932416091,1.99000690707867,1.75636235790091
"243840_at",2.1204657455358,2.03245741638121,2.08635714351882,2.03955885541907,2.17332031307218,2.29873660603692,2.16705953007523,2.12592282110479,2.31091592024466,2.29973348503486,2.16990736839517,2.13867261657162,2.19102027481545,2.35243707440071,2.26240369002861,2.41946095691033,2.28491531961314,2.36003777190007,2.25506105960635,2.15005171951668,2.13801132860142,2.01755673526249,1.99610415672659,2.2422210901694,2.18986819480435,2.05942727211765,2.05869573771419
