"","x"
"216799_at",-0.121592280798147
"217057_s_at",-0.172305250102051
"217882_at",-0.093121229680905
"218320_s_at",-0.0890983529369684
"218399_s_at",-0.10903420383803
"218639_s_at",-0.101727475848012
"218732_at",-0.0710776234846713
"219110_at",-0.13642398073448
"219259_at",-0.147849651948448
"219422_at",-0.0772905823275876
"219496_at",-0.222877039886237
"219706_at",-0.0811381778563662
"219812_at",-0.172389385099625
"220040_x_at",-0.10854962903811
"220417_s_at",-0.183257485311756
"220729_at",-0.309498978864918
"221411_at",-0.143693904567166
"221820_s_at",-0.109785709679314
"221932_s_at",-0.114321183811477
"221936_x_at",-0.137598307504879
"222105_s_at",-0.133180732141574
"222591_at",-0.323813999038319
"223133_at",-0.0895316051454702
"223413_s_at",-0.196017350748886
"223789_s_at",-0.189506635944437
"223895_s_at",-0.206165605499865
"224087_at",-0.160807719783704
"224118_at",-0.159792104949964
"225160_x_at",-0.165844027958944
"225425_s_at",-0.136540465807322
"225474_at",-0.130554679443014
"226017_at",-0.142684863382451
"226428_at",-0.0881606904123706
"227064_at",-0.129176370831649
"227186_s_at",-0.136401887295656
"227734_s_at",-0.177871256859496
"227972_at",-0.0972037212782033
"228434_at",-0.207301926006402
"228731_at",-0.133700479424497
"228898_s_at",-0.148515242372156
"229391_s_at",-0.142250280741395
"229639_s_at",-0.219138269812664
"229868_s_at",-0.192859866823527
"230989_s_at",-0.138586873952411
"231237_x_at",-0.167005551532431
"231602_at",-0.135041452442136
"231645_s_at",-0.161535001151917
"231692_at",-0.151134738577762
"231748_at",-0.197222118117513
"232032_x_at",-0.216946295051919
"232497_at",-0.254022238047593
"233289_at",-0.312474924382816
"233416_at",-0.209848773684647
"234068_s_at",-0.168604126281589
"235073_at",-0.112249095909225
"235682_s_at",-0.184937232265928
"235751_s_at",-0.204976273722417
"235819_at",-0.230036593523396
"236027_at",-0.122560011937393
"236549_x_at",-0.134300618321297
"236643_s_at",-0.207114402465422
"237890_at",-0.20431421948618
"238080_at",-0.130424139459617
"238399_x_at",-0.183724728416894
"238670_at",-0.361941853928496
"238835_at",-0.200040168399933
"240560_at",-0.123401442251409
"240935_at",-0.107999547675766
"241256_at",-0.130857598969176
"241486_at",-0.124487755085948
"241528_at",-0.149165297752897
"241960_at",-0.206435657321159
"243015_at",-0.281177379160178
"243060_at",-0.217784303311296
"243087_at",-0.510279829969571
"243126_x_at",-0.440426755437987
"243214_at",-0.367279720257077
"243219_x_at",-0.608600795483951
"243243_at",-0.2815680322888
"243247_at",-0.359660278464886
"243254_at",-0.572289039604034
"243259_at",-0.0848205998351417
"243339_at",-0.662260120202828
"243373_at",-0.706512616535764
"243406_at",-0.363103196140402
"243427_at",-0.442097724595757
"243490_at",-0.362887136406737
"243518_at",-0.142697218291227
"243544_at",-0.561367123727933
"243723_at",-0.453053801830351
"243758_at",-0.372343644352975
"243784_s_at",-0.236731697723665
"243798_at",-0.48893809816818
"243812_at",-0.331316672135148
"243862_at",-0.457947282797117
"243961_at",-0.589239432915164
"244169_x_at",-0.144074111624868
"44654_at",-0.0668914138315961
"AFFX-HUMISGF3A/M97935_3_at",-0.293589970295583
